event,frame,slot,routine,name,role,cls,blend,peak,life,mood,span,off,wild,hrot,tz,tx,ty,tr,schemeA,schemeB,leg
spawn,1749293,2,564,541 comet trio,3,0,4,90,412,2,17000,20764,162,1,2.2003,-0.0035,-0.0506,0.0997,94,113,1708
spawn,1749677,4,422,399 brushed metal,0,0,0,256,1379,2,17000,10414,0,0,1.1367,0.0000,0.0000,5.8843,94,113,1708
spawn,1750244,3,589,566 sprocket chain,3,0,2,90,666,2,8625,22387,0,0,1.6501,-0.0882,-0.2529,0.2992,113,52,1709
spawn,1750425,2,216,193 cord braid,2,0,2,119,1502,2,17000,16073,0,2,0.5499,-0.2106,-0.0529,0.0000,113,52,1709
spawn,1751090,1,34,011 plasma mandala,1,0,1,176,1510,2,17000,2,0,0,0.8701,0.2812,-0.2224,4.3883,52,81,1710
spawn,1751154,4,374,351 rain veil,0,0,0,256,646,1,17000,3234,0,0,1.3882,0.0000,0.0000,5.1861,52,81,1710
spawn,1751690,3,610,587 slow snow,3,0,1,74,448,1,7140,7336,0,0,0.4144,0.1447,0.0788,0.0997,52,81,1710
spawn,1751743,4,402,379 raked garden,0,0,0,256,1295,0,17000,24949,0,0,1.2567,0.0000,0.0000,3.3909,52,81,1710
spawn,1752525,2,604,581 matrix corners,2,0,1,110,828,0,5080,13486,173,1,2.2434,-0.2294,0.0576,6.2832,81,144,1711
spawn,1753148,4,458,435 watercolour blooms,0,0,0,256,829,1,17000,32282,0,0,1.2000,0.0000,0.0000,1.2965,144,148,1712
spawn,1753724,1,277,254 pinwheel ribs,1,0,1,159,1234,1,17000,19369,180,0,0.6258,0.1824,-0.0153,1.4960,144,148,1712
spawn,1753912,4,371,348 dawn clouds,0,0,0,256,627,1,17000,8356,0,0,1.1704,0.0000,0.0000,3.5904,144,148,1712
spawn,1754341,2,140,117 cloth lattice,2,0,1,130,1000,1,14375,29608,0,0,0.4842,0.1353,-0.1635,0.5984,148,50,1713
spawn,1754551,4,23,asm,0,1,0,256,135,1,17000,13017,0,0,1.2066,0.0000,0.0000,2.5931,148,50,1713
spawn,1754843,4,479,456 lava wall,0,0,0,256,1288,1,17000,4971,0,0,1.2921,0.0000,0.0000,1.7952,148,50,1713
spawn,1755289,3,188,165 vortex street,2,0,1,115,997,1,6234,10035,0,0,1.7877,-0.1165,0.1612,1.1968,50,7,1714
spawn,1755941,1,318,295 meander key,1,0,1,150,1242,1,17000,29177,42,0,1.5434,0.1118,0.2082,5.7845,50,7,1714
spawn,1756096,2,536,513 rolling front,2,0,1,118,1180,1,13093,22586,0,0,0.9625,-0.1824,0.1494,6.1835,50,7,1714
spawn,1756293,4,477,454 heat contours,0,0,0,256,1035,1,17000,13789,0,0,1.2814,0.0000,0.0000,0.0000,7,157,1715
spawn,1757115,3,549,526 lightning heart,3,0,1,86,417,1,6781,3709,0,0,0.8085,-0.0765,0.0741,3.3909,7,157,1715
spawn,1757395,4,115,092 greek key panel,0,0,0,256,1595,2,17000,17885,0,0,1.2436,0.0000,0.0000,6.1835,157,125,1716
spawn,1757937,1,32,009 lissa web,2,0,1,155,840,2,17000,1755,0,0,1.8636,0.0553,0.1541,0.0997,157,125,1716
spawn,1758476,2,582,559 planetary set,2,0,2,103,1153,2,16640,24471,56,0,0.5396,-0.2882,0.2741,1.7952,125,103,1717
spawn,1758525,3,586,563 corner train,3,0,2,72,377,2,9492,8638,0,0,1.1862,-0.0812,0.1047,2.3936,125,103,1717
spawn,1759071,4,460,437 granulation,0,0,0,256,844,1,17000,11773,0,0,1.0208,0.0000,0.0000,2.5931,125,103,1717
spawn,1759653,1,214,191 hopf weave,2,0,1,143,1598,1,17000,2780,0,2,1.1595,-0.0624,-0.1588,3.7899,103,106,1718
spawn,1759955,4,31,008 octa mandala,0,0,0,256,744,0,17000,6087,0,0,1.0841,0.0000,0.0000,3.3909,103,106,1718
spawn,1760468,3,207,184 caustic billiard,3,0,1,91,594,0,4885,14939,0,0,0.6340,0.2788,0.0200,6.1835,106,61,1719
spawn,1760546,2,81,058 fountain arcs,2,0,1,115,1412,0,5167,20966,0,0,1.2806,0.1235,0.1753,5.2859,106,61,1719
spawn,1760711,4,386,363 milky band,0,0,0,256,570,1,17000,26011,0,0,1.0315,0.0000,0.0000,1.7952,106,61,1719
spawn,1761319,4,469,446 agate bands,0,0,0,256,779,1,17000,10261,0,0,1.2000,0.0000,0.0000,4.4880,61,44,1720
spawn,1761912,1,245,222 ripple pond,1,0,1,128,996,1,17000,32473,0,1,0.8845,0.0059,0.0412,3.7899,61,44,1720
spawn,1762134,4,251,228 rope net,1,0,0,256,976,1,17000,15821,0,0,1.2288,0.0000,0.0000,2.9920,61,44,1720
spawn,1762620,3,524,501 st elmos fire,3,0,1,88,591,1,5046,24519,0,0,0.4821,-0.1212,0.1047,2.8923,44,89,1721
spawn,1763111,2,601,578 matrix side rain,2,0,1,138,920,1,11187,10113,0,1,0.4287,0.0553,-0.0012,4.0891,44,89,1721
spawn,1763227,4,222,199 talbot carpet,0,0,0,256,1271,2,17000,20859,0,0,1.3068,0.0000,0.0000,5.2859,44,89,1721
spawn,1763949,1,224,201 lava lamp,2,0,2,78,543,2,17000,30954,0,0,1.2991,-0.1047,0.1376,1.7952,89,17,1722
spawn,1764311,3,155,132 tesseract drift,3,0,2,77,569,2,9187,4543,175,0,1.3587,-0.0600,0.2859,5.2859,89,17,1722
spawn,1764557,4,410,387 stained glass,0,0,0,256,903,2,17000,13956,0,0,1.0488,0.0000,0.0000,0.7979,17,58,1723
